Data from North Dakota Agricultural Weather Network https://ndawn.ndsu.nodak.edu,,,,,,,,,,,,,,,,,,,,,,,,,
Daily Observation Table for January 1 1990 to March 1 2025,,,,,,,,,,,,,,,,,,,,,,,,,
Flag Definition Line: M - Missing; E - Estimated; N/A - Not Available,,,,,,,,,,,,,,,,,,,,,,,,,
,deg,deg,ft,,,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,,Degrees C,,Degrees C,Degrees C,mm,,mm,%,
Streeter,46.71797,-99.46081,1944,2003,06,17,27.22,,23.55,3.67,,13.97,,12.006,1.964,,20.595,,17.778,2.817,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,06,18,23.82,,23.711,0.109,,12.24,,12.167,0.073,,18.03,,17.939,0.091,0,,3.048,85,
Streeter,46.71797,-99.46081,1944,2003,06,19,25.31,,23.833,1.477,,11.27,,12.272,-1.002,,18.29,,18.056,0.234,0,,3.048,85,
Streeter,46.71797,-99.46081,1944,2003,06,20,27.85,,23.944,3.906,,16.86,,12.439,4.421,,22.355,,18.194,4.161,0,,3.048,85,
Streeter,46.71797,-99.46081,1944,2003,06,21,27.96,,24.1,3.86,,14.43,,12.556,1.874,,21.195,,18.328,2.867,15.24,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,06,22,23.81,,24.222,-0.412,,11.25,,12.711,-1.461,,17.53,,18.467,-0.937,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,06,23,23.22,,24.333,-1.113,,13.04,,12.822,0.218,,18.13,,18.578,-0.448,46.482,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,06,24,17.98,,24.456,-6.476,,10.98,,12.933,-1.953,,14.48,,18.694,-4.214,18.796,,3.048,87,
Streeter,46.71797,-99.46081,1944,2003,06,25,15.01,,24.611,-9.601,,9.55,,13.044,-3.494,,12.28,,18.828,-6.548,0,,3.302,87,
Streeter,46.71797,-99.46081,1944,2003,06,26,21.86,,24.733,-2.873,,7.87,,13.144,-5.274,,14.865,,18.939,-4.074,0,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,06,27,22.23,,24.844,-2.614,,9.94,,13.256,-3.316,,16.085,,19.05,-2.965,0,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,06,28,21.88,,24.967,-3.087,,9.89,,13.367,-3.477,,15.885,,19.167,-3.282,0,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,06,29,24.85,,25.078,-0.228,,9.97,,13.478,-3.508,,17.41,,19.278,-1.868,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,06,30,27.74,,25.244,2.496,,12.17,,13.589,-1.419,,19.955,,19.417,0.538,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,01,30.56,,25.356,5.204,,17.94,,13.694,4.246,,24.25,,19.522,4.728,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,02,29.7,,25.467,4.233,,17.33,,13.756,3.574,,23.515,,19.611,3.904,0,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,07,03,26.49,,25.589,0.901,,14.03,,13.867,0.163,,20.26,,19.728,0.532,8.382,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,07,04,26.22,,25.7,0.52,,13,,13.922,-0.922,,19.61,,19.811,-0.201,0.508,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,05,29.91,,25.822,4.088,,14.51,,14.033,0.477,,22.21,,19.928,2.282,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,06,23.37,,25.933,-2.563,,13.08,,14.089,-1.009,,18.225,,20.011,-1.786,0,,3.302,86,
Streeter,46.71797,-99.46081,1944,2003,07,07,21.5,,26.039,-4.539,,9.77,,14.156,-4.386,,15.635,,20.094,-4.459,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,08,21.62,,26.15,-4.53,,11.35,,14.211,-2.861,,16.485,,20.178,-3.693,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,09,18.1,,26.272,-8.172,,9.93,,14.311,-4.381,,14.015,,20.294,-6.279,0.254,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,10,24.66,,26.383,-1.723,,9.48,,14.378,-4.898,,17.07,,20.383,-3.313,0.254,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,11,22.71,,26.45,-3.74,,12.72,,14.433,-1.713,,17.715,,20.444,-2.729,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,12,26.24,,26.561,-0.321,,10.07,,14.444,-4.374,,18.155,,20.506,-2.351,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,13,32.43,,26.672,5.758,,15.95,,14.5,1.45,,24.19,,20.589,3.601,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,14,28.33,,26.733,1.597,,15.03,,14.556,0.474,,21.68,,20.644,1.036,0.254,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,15,28.13,,26.839,1.291,,11.51,,14.611,-3.101,,19.82,,20.728,-0.908,0,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,16,30.84,,26.9,3.94,,17.57,,14.617,2.953,,24.205,,20.761,3.444,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,17,23.49,,27,-3.51,,14.31,,14.672,-0.362,,18.9,,20.833,-1.933,0.762,,3.048,86,
Streeter,46.71797,-99.46081,1944,2003,07,18,31.71,,27.067,4.643,,16.42,,14.683,1.737,,24.065,,20.878,3.187,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,19,33.79,,27.122,6.668,,17.98,,14.683,3.297,,25.885,,20.9,4.985,0,,2.54,86,
Streeter,46.71797,-99.46081,1944,2003,07,20,26.48,,27.178,-0.698,,13.76,,14.739,-0.979,,20.12,,20.956,-0.836,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,21,22.6,,27.233,-4.633,,11.39,,14.739,-3.349,,16.995,,20.989,-3.994,0,,2.794,86,
Streeter,46.71797,-99.46081,1944,2003,07,22,25.16,,27.289,-2.129,,14.16,,14.744,-0.584,,19.66,,21.017,-1.357,0,,2.54,86,
Streeter,46.71797,-99.46081,1944,2003,07,23,28.08,,27.344,0.736,,13.47,,14.744,-1.274,,20.775,,21.044,-0.269,0,,2.54,85,
Streeter,46.71797,-99.46081,1944,2003,07,24,30.98,,27.356,3.624,,16.54,,14.744,1.796,,23.76,,21.05,2.71,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,07,25,34.89,,27.406,7.484,,18.75,,14.744,4.006,,26.82,,21.078,5.742,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,07,26,26.84,,27.411,-0.571,,14.51,,14.7,-0.19,,20.675,,21.056,-0.381,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,07,27,23.26,,27.456,-4.196,,12.17,,14.7,-2.53,,17.715,,21.078,-3.363,1.27,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,07,28,31.3,,27.456,3.844,,12.07,,14.7,-2.63,,21.685,,21.078,0.607,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,07,29,27.81,,27.461,0.349,,14.66,,14.644,0.016,,21.235,,21.056,0.179,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,07,30,27.47,,27.456,0.014,,12.01,,14.644,-2.634,,19.74,,21.05,-1.31,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,07,31,25.98,,27.456,-1.476,,11.56,,14.589,-3.029,,18.77,,21.022,-2.252,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,01,26.26,,27.456,-1.196,,11.55,,14.533,-2.983,,18.905,,20.994,-2.089,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,02,27,,27.4,-0.4,,11.01,,14.489,-3.479,,19.005,,20.944,-1.939,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,03,27.97,,27.4,0.57,,11.07,,14.433,-3.363,,19.52,,20.917,-1.397,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,04,25.1,,27.344,-2.244,,16.22,,14.378,1.842,,20.66,,20.861,-0.201,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,05,21.85,,27.289,-5.439,,12.51,,14.311,-1.801,,17.18,,20.8,-3.62,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,06,27.35,,27.278,0.072,,11.63,,14.256,-2.626,,19.49,,20.767,-1.277,0.254,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,07,29.22,,27.222,1.998,,14.51,,14.2,0.31,,21.865,,20.711,1.154,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,08,30.35,,27.167,3.183,,18.08,,14.089,3.991,,24.215,,20.628,3.587,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,09,25.11,,27.067,-1.957,,17.51,,14.033,3.477,,21.31,,20.55,0.76,6.858,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,10,28.28,,27.011,1.269,,15.65,,13.922,1.728,,21.965,,20.467,1.498,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,11,30.04,,26.944,3.096,,14.49,,13.856,0.634,,22.265,,20.4,1.865,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,12,30.56,,26.844,3.716,,17.57,,13.744,3.826,,24.065,,20.294,3.771,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,13,31.07,,26.733,4.337,,18.19,,13.633,4.557,,24.63,,20.183,4.447,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,14,34.02,,26.667,7.353,,18.36,,13.522,4.838,,26.19,,20.094,6.096,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,15,35.25,,26.561,8.689,,17.07,,13.411,3.659,,26.16,,19.983,6.177,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,16,32.61,,26.45,6.16,,20.1,,13.3,6.8,,26.355,,19.878,6.477,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,17,36.59,,26.339,10.251,,20.79,,13.189,7.601,,28.69,,19.767,8.923,0,,1.778,85,
Streeter,46.71797,-99.46081,1944,2003,08,18,35.67,,26.228,9.442,,20.3,,13.072,7.228,,27.985,,19.65,8.335,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,19,34.42,,26.072,8.348,,19,,12.961,6.039,,26.71,,19.517,7.193,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,20,35.45,,25.956,9.494,,18.22,,12.794,5.426,,26.835,,19.378,7.457,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,21,27,,25.85,1.15,,12.76,,12.683,0.077,,19.88,,19.267,0.613,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,22,28.38,,25.683,2.697,,13.48,,12.517,0.963,,20.93,,19.1,1.83,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,23,40.72,,25.572,15.148,,17.78,,12.406,5.374,,29.25,,18.989,10.261,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,24,32.25,,25.406,6.844,,14.19,,12.239,1.951,,23.22,,18.822,4.398,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,08,25,34.66,,25.244,9.416,,16.14,,12.072,4.068,,25.4,,18.656,6.744,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,26,29.71,,25.078,4.632,,12.25,,11.906,0.344,,20.98,,18.489,2.491,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,08,27,32.67,,24.961,7.709,,15.48,,11.75,3.73,,24.075,,18.356,5.719,4.826,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,28,27.8,,24.794,3.006,,11.81,,11.583,0.227,,19.805,,18.189,1.616,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,08,29,18.07,,24.633,-6.563,,7.43,,11.417,-3.987,,12.75,,18.022,-5.272,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,30,23.19,,24.467,-1.277,,5.422,,11.25,-5.828,,14.306,,17.861,-3.555,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,08,31,21.21,,24.3,-3.09,,7.03,,11.083,-4.053,,14.12,,17.689,-3.569,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,09,01,29.9,,24.089,5.811,,14.99,,10.917,4.073,,22.445,,17.5,4.945,0,,2.286,85,
Streeter,46.71797,-99.46081,1944,2003,09,02,24.26,,23.911,0.349,,13.05,,10.75,2.3,,18.655,,17.333,1.322,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,09,03,22.01,,23.744,-1.734,,7.65,,10.533,-2.883,,14.83,,17.139,-2.309,0,,2.032,85,
Streeter,46.71797,-99.46081,1944,2003,09,04,28.5,,23.533,4.967,,6.389,,10.361,-3.972,,17.444,,16.944,0.5,0,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,05,34.52,,23.367,11.153,,12.24,,10.144,2.096,,23.38,,16.756,6.624,0,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,06,32.64,,23.144,9.496,,14.74,,9.978,4.762,,23.69,,16.561,7.129,0,,2.286,84,
Streeter,46.71797,-99.46081,1944,2003,09,07,32.82,,22.978,9.842,,18.19,,9.767,8.423,,25.505,,16.372,9.133,0,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,08,29.24,,22.756,6.484,,17.05,,9.544,7.506,,23.145,,16.15,6.995,0,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,09,09,28.18,,22.578,5.602,,18.98,,9.378,9.602,,23.58,,15.978,7.602,0,,2.286,84,
Streeter,46.71797,-99.46081,1944,2003,09,10,24.44,,22.356,2.084,,11.47,,9.156,2.314,,17.955,,15.756,2.199,4.826,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,11,24.57,,22.133,2.437,,10.34,,8.944,1.396,,17.455,,15.539,1.916,0,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,12,20.79,,21.911,-1.121,,11.92,,8.722,3.198,,16.355,,15.317,1.038,1.016,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,13,16.43,,21.689,-5.259,,7.55,,8.511,-0.961,,11.99,,15.1,-3.11,0.254,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,09,14,18.67,,21.467,-2.797,,6.061,,8.333,-2.272,,12.366,,14.9,-2.534,0,,2.032,84,
Streeter,46.71797,-99.46081,1944,2003,09,15,25.33,,21.244,4.086,,5.334,,8.111,-2.777,,15.332,,14.678,0.654,0,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,09,16,24.12,,21.011,3.109,,9.66,,7.844,1.816,,16.89,,14.428,2.462,0,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,09,17,18.63,,20.789,-2.159,,7.6,,7.622,-0.022,,13.115,,14.206,-1.091,9.398,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,18,8.62,,20.556,-11.936,,0.548,,7.406,-6.858,,4.584,,13.978,-9.394,1.27,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,19,20.15,,20.333,-0.183,,-0.789,,7.183,-7.972,,9.681,,13.761,-4.081,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,20,26.22,,20.056,6.164,,7.47,,6.956,0.514,,16.845,,13.506,3.339,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,21,17.83,,19.822,-1.992,,4.673,,6.733,-2.061,,11.252,,13.278,-2.026,0,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,09,22,15.73,,19.544,-3.814,,3.314,,6.511,-3.197,,9.522,,13.028,-3.506,1.016,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,23,25.1,,19.311,5.789,,4.722,,6.239,-1.517,,14.911,,12.778,2.133,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,24,11.24,,19.033,-7.793,,-1.338,,6.011,-7.349,,4.951,,12.522,-7.571,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,25,15.97,,18.794,-2.824,,-1.917,,5.789,-7.706,,7.027,,12.289,-5.262,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,09,26,16.11,,18.517,-2.407,,4.875,,5.517,-0.642,,10.493,,12.017,-1.524,0.254,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,27,11.76,,18.239,-6.479,,-1.147,,5.289,-6.436,,5.307,,11.761,-6.454,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,09,28,12.81,,17.95,-5.14,,-2.039,,5.056,-7.094,,5.386,,11.5,-6.114,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,09,29,11.26,,17.672,-6.412,,-2.609,,4.789,-7.398,,4.326,,11.233,-6.908,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,09,30,10.63,,17.383,-6.753,,-6.172,,4.556,-10.728,,2.229,,10.972,-8.743,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,01,11.59,,17.1,-5.51,,-4.877,,4.278,-9.155,,3.357,,10.689,-7.332,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,02,20.42,,16.811,3.609,,-1.091,,4.056,-5.147,,9.664,,10.433,-0.769,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,03,18.39,,16.533,1.857,,4.749,,3.778,0.971,,11.569,,10.156,1.414,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,04,23.87,,16.244,7.626,,3.867,,3.544,0.323,,13.869,,9.894,3.974,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,05,26.48,,15.911,10.569,,5.001,,3.272,1.729,,15.741,,9.594,6.146,0,,1.778,84,
Streeter,46.71797,-99.46081,1944,2003,10,06,28.13,,15.628,12.502,,5.649,,3.039,2.61,,16.889,,9.333,7.556,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,07,29.34,,15.339,14.001,,7.81,,2.761,5.049,,18.575,,9.05,9.525,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,08,27.88,,15.006,12.874,,9.35,,2.528,6.822,,18.615,,8.767,9.848,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,09,28.76,,14.717,14.043,,6.838,,2.25,4.588,,17.799,,8.483,9.316,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,10,22.52,,14.383,8.137,,8.79,,1.972,6.818,,15.655,,8.178,7.477,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,11,16.86,,14.106,2.754,,3.03,,1.739,1.291,,9.945,,7.922,2.023,1.778,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,12,18.49,,13.772,4.718,,0.935,,1.467,-0.532,,9.713,,7.622,2.091,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,13,16.98,,13.489,3.491,,1.939,,1.222,0.717,,9.459,,7.356,2.104,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,14,14.32,,13.156,1.164,,-0.663,,0.944,-1.607,,6.829,,7.05,-0.221,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,15,8.03,,12.822,-4.792,,-4.983,,0.711,-5.694,,1.524,,6.767,-5.243,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,16,10.47,,12.533,-2.063,,-1.3,,0.433,-1.733,,4.585,,6.483,-1.898,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,17,22.59,,12.2,10.39,,-1.357,,0.156,-1.513,,10.617,,6.178,4.439,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,18,23.9,,11.872,12.028,,4.826,,-0.072,4.898,,14.363,,5.9,8.463,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,19,29.09,,11.594,17.496,,4.244,,-0.35,4.594,,16.667,,5.622,11.045,0,,1.524,84,
Streeter,46.71797,-99.46081,1944,2003,10,20,20.71,,11.261,9.449,,6.585,,-0.583,7.168,,13.648,,5.339,8.309,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,21,22.53,,10.928,11.602,,7.12,,-0.85,7.97,,14.825,,5.039,9.786,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,22,21.57,,10.606,10.964,,4.3,,-1.083,5.383,,12.935,,4.761,8.174,0,,1.016,84,
Streeter,46.71797,-99.46081,1944,2003,10,23,12.56,,10.317,2.243,,-2.191,,-1.361,-0.83,,5.184,,4.478,0.707,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,24,12.93,,9.994,2.936,,0.68,,-1.639,2.319,,6.805,,4.178,2.627,0,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,25,0.908,,9.661,-8.753,,-8.45,,-1.872,-6.578,,-3.771,,3.894,-7.666,0,,1.016,84,
Streeter,46.71797,-99.46081,1944,2003,10,26,6.886,,9.383,-2.497,,-7.74,,-2.139,-5.601,,-0.427,,3.622,-4.049,0,,1.016,84,
Streeter,46.71797,-99.46081,1944,2003,10,27,13.5,,9.05,4.45,,-0.058,,-2.372,2.314,,6.721,,3.339,3.382,3.302,,1.27,84,
Streeter,46.71797,-99.46081,1944,2003,10,28,5.246,,8.728,-3.482,,-4.673,,-2.65,-2.023,,0.287,,3.039,-2.752,0,,1.016,84,
Streeter,46.71797,-99.46081,1944,2003,10,29,-0.948,,8.439,-9.387,,-3.821,,-2.872,-0.949,,-2.384,,2.783,-5.168,,M,1.016,,M
Streeter,46.71797,-99.46081,1944,2003,10,30,-0.683,,8.117,-8.799,,-2.637,,-3.15,0.513,,-1.66,,2.483,-4.143,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,10,31,-2.106,,7.789,-9.895,,-13.6,,-3.372,-10.228,,-7.853,,2.211,-10.064,,M,1.016,,M
Streeter,46.71797,-99.46081,1944,2003,11,01,-2.401,,7.511,-9.912,,-13.17,,-3.639,-9.531,,-7.786,,1.933,-9.719,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,02,-1.479,,7.178,-8.657,,-11.85,,-3.872,-7.978,,-6.664,,1.656,-8.32,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,03,-7.97,,6.9,-14.87,,-11.61,,-4.139,-7.471,,-9.79,,1.378,-11.168,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,04,-5.745,,6.578,-12.323,,-12.18,,-4.361,-7.819,,-8.962,,1.111,-10.073,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,05,-8.85,,6.3,-15.15,,-18.7,,-4.583,-14.117,,-13.775,,0.861,-14.636,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,06,-6.028,,5.978,-12.006,,-14.47,,-4.861,-9.609,,-10.249,,0.556,-10.804,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,07,-9.24,,5.7,-14.94,,-19.82,,-5.089,-14.731,,-14.53,,0.306,-14.836,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,08,-6.214,,5.372,-11.586,,-17.6,,-5.356,-12.244,,-11.907,,0.011,-11.918,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,09,-3.82,,5.094,-8.914,,-10.03,,-5.578,-4.452,,-6.925,,-0.239,-6.686,,M,0.762,,M
Streeter,46.71797,-99.46081,1944,2003,11,10,1.215,,4.817,-3.602,,-9.41,,-5.8,-3.61,,-4.097,,-0.489,-3.608,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,11,3.958,,4.494,-0.537,,-3.02,,-6.067,3.047,,0.469,,-0.783,1.252,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,12,1.682,,4.217,-2.534,,-10.33,,-6.289,-4.041,,-4.324,,-1.033,-3.291,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,13,3.947,,3.939,0.008,,-13.47,,-6.511,-6.959,,-4.761,,-1.283,-3.478,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,14,7.18,,3.661,3.519,,-5.118,,-6.733,1.616,,1.031,,-1.539,2.57,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,15,2.856,,3.328,-0.472,,-2.8,,-7,4.2,,0.028,,-1.833,1.862,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,16,4.147,,3.05,1.097,,-0.382,,-7.217,6.834,,1.883,,-2.083,3.966,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,17,10.52,,2.772,7.748,,-1.414,,-7.439,6.025,,4.553,,-2.333,6.887,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,18,5.992,,2.494,3.498,,-2.876,,-7.661,4.785,,1.558,,-2.583,4.142,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,19,12.74,,2.211,10.529,,-0.277,,-7.883,7.606,,6.232,,-2.839,9.071,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,20,10.27,,1.933,8.337,,-9.21,,-8.15,-1.06,,0.53,,-3.111,3.641,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,21,-8.37,,1.656,-10.026,,-14.93,,-8.372,-6.558,,-11.65,,-3.361,-8.289,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,22,-8.99,,1.378,-10.368,,-12.24,,-8.594,-3.646,,-10.615,,-3.611,-7.004,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,23,-11.52,,1.1,-12.62,,-19.6,,-8.817,-10.783,,-15.56,,-3.861,-11.699,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,24,-6.205,,0.822,-7.027,,-25.55,,-9.028,-16.522,,-15.877,,-4.106,-11.772,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,25,-2.579,,0.544,-3.123,,-10.59,,-9.25,-1.34,,-6.584,,-4.356,-2.229,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,26,1.945,,0.311,1.634,,-14.11,,-9.472,-4.638,,-6.082,,-4.578,-1.504,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,27,-3.827,,0.033,-3.861,,-14.15,,-9.694,-4.456,,-8.988,,-4.833,-4.155,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,11,28,-4.348,,-0.239,-4.109,,-19.2,,-9.917,-9.283,,-11.774,,-5.078,-6.696,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,29,5.695,,-0.522,6.217,,-7.53,,-10.139,2.609,,-0.917,,-5.328,4.411,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,11,30,4.736,,-0.75,5.486,,-4.147,,-10.361,6.214,,0.294,,-5.556,5.85,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,12,01,0.524,,-1.028,1.552,,-9.59,,-10.583,0.993,,-4.533,,-5.806,1.273,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,12,02,3.872,,-1.261,5.133,,-7.68,,-10.806,3.126,,-1.904,,-6.033,4.129,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,12,03,0.487,,-1.539,2.026,,-2.562,,-10.983,8.421,,-1.037,,-6.261,5.224,,M,0.254,,M
Streeter,46.71797,-99.46081,1944,2003,12,04,-0.665,,-1.761,1.096,,-5.815,,-11.2,5.385,,-3.24,,-6.478,3.238,,M,0.508,,M
Streeter,46.71797,-99.46081,1944,2003,12,05,-5.359,,-1.994,-3.364,,-9.04,,-11.417,2.377,,-7.199,,-6.706,-0.494,,M,0.508,,M
